"","child","parent","length"
"336","DOID:11520","DOID:7",8
"337","DOID:10441","DOID:7",9
"338","DOID:10443","DOID:7",11
"339","DOID:10442","DOID:7",12
"340","DOID:4681","DOID:14566",8
"341","DOID:10444","DOID:7",9
"342","DOID:13310","DOID:7",4
"343","DOID:1852","DOID:7",5
"344","DOID:1192","DOID:14566",5
"345","DOID:1195","DOID:7",5
"346","DOID:5777","DOID:14566",7
"347","DOID:4872","DOID:14566",7
"348","DOID:4873","DOID:7",7
"349","DOID:4870","DOID:14566",11
"350","DOID:4871","DOID:14566",7
"351","DOID:4876","DOID:14566",6
"352","DOID:4877","DOID:14566",7
"353","DOID:4702","DOID:7",4
"354","DOID:4875","DOID:14566",7
"355","DOID:14711","DOID:630",4
"356","DOID:4878","DOID:14566",7
"357","DOID:4879","DOID:14566",9
"358","DOID:4708","DOID:14566",10
"359","DOID:14717","DOID:7",6
"360","DOID:0050810","DOID:0014667",5
"361","DOID:0050811","DOID:0014667",5
"362","DOID:0050812","DOID:7",8
"363","DOID:3737","DOID:14566",6
"364","DOID:0050814","DOID:630",5
"365","DOID:0050815","DOID:7",5
"366","DOID:0050816","DOID:630",5
"367","DOID:0050817","DOID:7",11
"368","DOID:0050818","DOID:0014667",5
"369","DOID:0050819","DOID:630",4
"370","DOID:1391","DOID:0014667",5
"371","DOID:1992","DOID:14566",9
"372","DOID:5474","DOID:14566",7
"373","DOID:5477","DOID:14566",5
"374","DOID:5476","DOID:14566",7
"375","DOID:1996","DOID:14566",9
"376","DOID:1392","DOID:7",7
"377","DOID:1995","DOID:14566",9
"378","DOID:1998","DOID:7",7
"379","DOID:1999","DOID:7",10
"380","DOID:5479","DOID:14566",5
"381","DOID:5478","DOID:14566",7
"382","DOID:9088","DOID:7",5
"383","DOID:9080","DOID:0014667",4
"384","DOID:9087","DOID:14566",4
"385","DOID:9776","DOID:7",8
"386","DOID:9775","DOID:7",5
"387","DOID:9773","DOID:14566",7
"388","DOID:9771","DOID:7",9
"389","DOID:9778","DOID:225",2
"390","DOID:9779","DOID:7",4
"391","DOID:3846","DOID:14566",7
"392","DOID:3847","DOID:14566",7
"393","DOID:3842","DOID:14566",8
"394","DOID:3843","DOID:14566",8
"395","DOID:3840","DOID:14566",6
"396","DOID:7565","DOID:14566",8
"397","DOID:2462","DOID:7",7
"398","DOID:2460","DOID:7",7
"399","DOID:2468","DOID:150",3
"400","DOID:3590","DOID:14566",7
"401","DOID:3593","DOID:14566",7
"402","DOID:3594","DOID:14566",7
"403","DOID:3596","DOID:14566",8
"404","DOID:2649","DOID:14566",6
"405","DOID:2648","DOID:14566",7
"406","DOID:9108","DOID:14566",4
"407","DOID:2643","DOID:14566",7
"408","DOID:2641","DOID:14566",9
"409","DOID:2640","DOID:14566",10
"410","DOID:2647","DOID:14566",5
"411","DOID:2645","DOID:14566",4
"412","DOID:0080059","DOID:7",7
"413","DOID:0080058","DOID:7",7
"414","DOID:7033","DOID:0050117",4
"415","DOID:7032","DOID:14566",9
"416","DOID:7031","DOID:14566",8
"417","DOID:7030","DOID:14566",8
"418","DOID:7037","DOID:14566",10
"419","DOID:7039","DOID:14566",7
"420","DOID:8913","DOID:0050117",4
"421","DOID:8912","DOID:0050117",4
